Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,946078,1671610,1583090,2743760,1938800,2273360,1536560,2282100,1856390,2174130,2025340,2090200,1425320,1881260,1680740,2406130,2268470,3147310,1647410,2560260,1810620,2222290,1858550,2659590,1702160,2248790,2905600,2741620,2015380,1912100,1761770,2201760,1409760,2140080,1342120,1923830,1390030,1888830,3594420,3388060
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,2719910,6047110,6499140,11983000,8945440,8324570,5144290,10558600,5666510,7094340,6834230,8052820,1749680,1396940,9154430,11545100,1445490,998084,12579200,15744000,4343260,6951070,9330770,21055500,1687180,1900210,3994230,7344100,6980330,4111550,9745360,13985000,1169860,2756900,1333650,2865020,3123440,5776040,4653950,3905880
A6NCC3;F8WBI6;H3BV12;I6L899;H3BSY2,GOG8M_HUMAN;GOG8N_HUMAN;GOG8O_HUMAN;GOG8Q_HUMAN;GOG8R_HUMAN,GOLGA8M;GOLGA8N;GOLGA8O;GOLGA8Q;GOLGA8R,Golgin subfamily A member 8O,13645.2,NA,NA,NA,NA,NA,NA,NA,27179.8,31482.6,NA,10526.5,21287.8,22848.4,NA,NA,8409.74,NA,NA,NA,12078.8,NA,NA,NA,6594.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,4308300,9800360,5575190,13349700,19966400,8455920,8945120,7931970,7922110,18911600,26616000,52827100,8780950,7240970,6919520,6580620,5104580,4976700,3568880,8378800,13404900,6730610,9382200,52844100,18853200,17843500,33078500,9012520,22544600,NA,3114400,20317600,20382600,19006400,44129600,28513700,25356100,21012000,21384400,10859100
A6NCS6,CB072_HUMAN,C2orf72,Uncharacterized protein C2orf72,NA,284101,NA,412612,NA,513581,NA,NA,NA,506060,NA,524283,NA,405882,NA,332142,NA,320704,NA,446156,NA,302499,NA,293214,NA,396200,NA,476442,NA,134816,NA,NA,NA,NA,NA,NA,NA,407465,NA,1331110
A6ND36,FA83G_HUMAN,FAM83G,Protein FAM83G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,25152000,18441000,25053000,17421700,19351300,10768200,20973700,14852700,20894300,12583000,16793700,13842400,34423800,19017800,24077100,14201400,27881800,15924200,16681100,12553800,22053100,14481000,30835700,18406600,25280700,19056500,21021600,12714700,21896900,12641800,30258900,19779100,31818600,24078800,42406300,23837700,30686000,23057000,27198700,12258600
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,1565680,1215540,5646890,3347750,6104620,3347110,4289760,2456850,4180580,2585480,5102360,3267720,1226530,1530150,3791540,3215510,5800200,3857580,5086850,3928450,4134530,2587640,8859730,3579840,3390320,1834100,5078080,1903850,4600660,2095660,7981500,NA,1143390,1679860,1213830,993240,3380510,1908160,3379620,2356030
A6NE02,BTBDH_HUMAN,BTBD17,BTB/POZ domain-containing protein 17,722833,2917390,4384130,11369900,5573180,6337020,1942710,2716320,2108840,3747730,2503940,1335470,1277440,3193940,424279,1411850,2097150,2411770,2714310,4050260,2854560,3358710,652850,3085300,1498120,1846950,1072270,3412830,1097580,NA,1147930,4352570,2389330,7456700,695417,2154170,1008700,1433690,1155430,2044780
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,116196,87209.2,141317,146774,160678,100564,144026,104725,168337,104851,151093,128786,206047,102579,127226,98980.2,141807,116627,131391,120761,137966,99941.8,158035,114931,135196,104702,154032,98432.8,118026,124115,221930,116364,233460,93489.4,112537,113309,151824,83781.2,92194.8,65298.5
A6NFQ2,TCAF2_HUMAN,TCAF2,TRPM8 channel-associated factor 2,NA,NA,NA,118055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NFY7,SDHF1_HUMAN,SDHAF1,"Succinate dehydrogenase assembly factor 1, mitochondrial",NA,NA,NA,NA,NA,167561,NA,80080.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66548.7,NA,NA,198365,NA,NA,NA,NA,NA,NA,NA,138323,NA,154135,NA,NA
A6NGB9,WIPF3_HUMAN,WIPF3,WAS/WASL-interacting protein family member 3,6486450,4171550,3864730,4663810,1902490,2020480,2509310,3540730,4753290,4475640,2200640,2544440,8977780,7204850,4341200,4148390,3741090,3208100,1175100,2286670,2732380,3247660,6530150,6135500,5864370,5535750,5380290,3776310,3500120,3914760,5497460,3660530,4257830,5934740,5737220,9318680,6236050,8673770,8142170,5161580
A6NGN9,IGLO5_HUMAN,IGLON5,IgLON family member 5,563719,12297600,1397850,14898300,964174,10988300,765971,8544370,716083,8955880,769166,9515300,1431020,14297100,NA,7274000,835685,9004710,1020300,7450250,NA,12109000,NA,5844560,1043800,7553080,NA,6537260,NA,8038710,1073210,7997650,1827390,19665600,1654550,10881500,1045690,10152400,656248,8043900
A6NHL2,TBAL3_HUMAN,TUBAL3,Tubulin alpha chain-like 3,826234,NA,NA,NA,2809050,NA,NA,NA,2238820,3465590,2344430,5366970,NA,NA,NA,NA,NA,NA,NA,NA,3738380,NA,NA,1486000,1659870,1982500,10109700,7060700,4289950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1655880
A6NHQ2,FBLL1_HUMAN,FBLL1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,NA,NA,NA,NA,NA,580144,NA,709270,NA,799885,NA,1400020,NA,NA,NA,654016,NA,475954,NA,NA,NA,NA,NA,NA,NA,656893,NA,740552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2325580
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,NA,89371.7,NA,184042,61566.9,61345,89236.5,254343,NA,205938,103732,184380,NA,NA,NA,246214,142425,172666,NA,155365,NA,203758,NA,233486,NA,NA,118661,151688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NHX0,CAST2_HUMAN,CASTOR2,Cytosolic arginine sensor for mTORC1 subunit 2,9670890,7948550,10075900,8557900,9298060,5933320,8223700,6960900,9929040,6641260,7863500,5553970,15326300,9599150,9651900,6402750,10793700,8425080,7671360,5485240,9876340,7105830,15393100,9115610,12774900,10117000,9636490,6607850,12594900,7596760,11313500,8864160,11121400,10335300,10310300,9367340,13924700,9127490,11725700,7308930
A6NI28,RHG42_HUMAN,ARHGAP42,Rho GTPase-activating protein 42,97333.2,129220,148046,NA,175567,142676,137982,154292,202579,81563.6,167446,134276,NA,109706,78404.1,NA,NA,NA,332813,185086,87999,NA,244620,202985,100958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94590.2,NA,NA,NA
A6NI72;P14598;A8MVU1,NCF1B_HUMAN;NCF1C_HUMAN;NCF1_HUMAN,NCF1;NCF1B;NCF1C,Putative neutrophil cytosol factor 1B,NA,NA,NA,NA,48807.9,NA,NA,NA,NA,NA,47837.8,NA,NA,NA,41724.7,NA,NA,NA,53246,NA,29211.6,27172.4,NA,NA,NA,NA,38269.2,NA,41035.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,23908.3,63526.4
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,NA,NA,NA,NA,181345,299006,88922.7,NA,NA,241762,295213,320780,NA,NA,NA,NA,NA,186200,221202,366408,NA,NA,NA,NA,NA,138618,263017,250325,NA,NA,NA,NA,NA,NA,NA,NA,NA,114101,661197,571171
A6NIK2,LR10B_HUMAN,LRRC10B,Leucine-rich repeat-containing protein 10B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129223,NA,NA,NA,209834,NA,NA,NA,NA,NA,NA,NA,204717,NA,301227,NA,NA,NA,NA,NA,88163.2,NA,NA,NA,NA,78610.5,450000
A6NK58,LIPT2_HUMAN,LIPT2,"Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial",464155,1091680,794018,1399570,481965,960213,549396,733248,532316,1079040,612925,1190680,1085850,2025860,648998,1396490,NA,1520150,NA,1111150,NA,979769,541703,1129570,758243,2255800,NA,2045670,636871,3072100,625727,1847940,356433,1994650,400864,1175980,NA,1578050,403646,929827
A6NKD9,CC85C_HUMAN,CCDC85C,Coiled-coil domain-containing protein 85C,NA,NA,NA,NA,NA,NA,NA,NA,NA,23559,NA,NA,NA,NA,NA,NA,NA,25446.4,NA,NA,NA,NA,NA,NA,NA,NA,25322.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56276
A6NKN8,PC4L1_HUMAN,PCP4L1,Purkinje cell protein 4-like protein 1,4721760,5535390,1919280,3802160,1973940,3890100,2944230,5233970,3749290,7802860,4454060,7562570,12552800,12890700,10609600,17194100,5474590,7507230,1067460,2973110,1813010,2927770,8731720,12024700,14136600,19525400,7830340,12552900,7356420,17940800,8620590,12663300,7587240,11402600,4766650,11682000,4519820,8633100,7154580,7546680
A6NL88,SHSA7_HUMAN,SHISA7,Protein shisa-7,NA,315407,NA,NA,NA,NA,NA,229956,NA,204770,NA,170534,179014,685565,120520,579184,290576,730213,NA,NA,NA,NA,170263,313974,283347,894272,280216,972948,343083,891580,371859,460950,135629,1151200,139059,447985,167370,609470,257112,569702
A6NLU5,VTM2B_HUMAN,VSTM2B,V-set and transmembrane domain-containing protein 2B,192997,506780,309875,NA,102314,NA,212115,323582,203561,203633,NA,NA,228611,517165,179276,281310,297009,450171,171368,121832,NA,478302,232260,440914,195231,256481,180296,460675,117776,NA,NA,669678,134401,315217,320048,617484,207915,436129,NA,417573
A6QL63,ABTB3_HUMAN,ABTB3,Ankyrin repeat and BTB/POZ domain-containing protein 3,NA,NA,NA,57957.2,78216.5,67991.4,NA,NA,NA,NA,NA,40569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6XGL0,YJEN3_HUMAN,YJEFN3,YjeF N-terminal domain-containing protein 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182300,NA,NA,NA,167242,NA,289891,NA,NA,NA,228256,NA,NA,NA,227634,NA,462750,NA,NA,NA,NA,NA,361200,NA,NA,NA,NA,130332,1286410
A6ZKI3,RTL8C_HUMAN,RTL8C,Retrotransposon Gag-like protein 8C,NA,NA,NA,NA,NA,520139,NA,508499,NA,213951,319171,605654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142188,NA,NA,NA,219945,NA,NA,NA,NA,NA,NA,NA,NA,NA,156612,955950,628786
A7KAX9,RHG32_HUMAN,ARHGAP32,Rho GTPase-activating protein 32,86030.4,152866,93513.3,NA,127980,137705,75320.8,94980,127094,137330,167742,83159.1,NA,107260,95299.3,80228.2,229037,161837,NA,NA,NA,NA,24522.7,101864,109828,150280,398365,361862,284249,NA,85250.9,NA,65916.5,83609.9,70342.5,83556,73717.9,100836,610440,474150
A8K2U0,A2ML1_HUMAN,A2ML1,Alpha-2-macroglobulin-like protein 1,NA,1300100,NA,NA,NA,NA,697967,NA,NA,NA,NA,1401080,NA,NA,1229780,NA,NA,NA,NA,NA,NA,1046190,NA,NA,NA,NA,19192300,NA,NA,NA,NA,NA,NA,1536300,966730,NA,NA,NA,NA,NA
A8MQ03,CRTP1_HUMAN,CYSRT1,Cysteine-rich tail protein 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30644.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8MSI8,LYRM9_HUMAN,LYRM9,LYR motif-containing protein 9,3063300,8719540,2470380,8975460,1894580,5148960,1969760,9756730,2446190,8894580,1780330,5841220,4011930,13744900,2857880,11711000,4952030,15690200,2321370,5315880,2138540,7686940,1830630,5896000,5039570,16747700,2477910,19531900,4271140,14747000,3268510,11841700,3986850,11240400,2786630,12864900,3679740,13777700,5945290,10753400
A8MTT3,CEBOS_HUMAN,CEBPZOS,Protein CEBPZOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326284,NA,NA,NA,NA,NA,255930
A8MVW0,F1712_HUMAN,FAM171A2,Protein FAM171A2,176822,455391,145169,195611,95678.9,222558,116763,223561,129686,234467,159688,331954,261837,402009,201291,259500,183621,352866,NA,157974,184848,393557,143877,199035,207302,404817,166573,484920,177468,365115,238898,194960,180835,280901,212486,245879,183400,265821,116345,547534
A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,601915,NA,NA,2549820,1583310,881430,729748,2251240,1074360,3421260,1703090,5992850,987583,1164550,NA,NA,NA,NA,NA,1579300,988341,NA,NA,8358530,1658700,3022110,3173270,2655060,2067860,NA,NA,3245040,750863,1286800,1822050,3757960,730500,3292180,2140600,2399970
A8MWY0,ELAP2_HUMAN,ELAPOR2,Endosome/lysosome-associated apoptosis and autophagy regulator family member 2,NA,10021900,NA,11740800,NA,10829100,NA,5483150,NA,NA,NA,9103290,NA,NA,NA,NA,NA,NA,NA,5474660,NA,NA,NA,8962610,NA,7340580,NA,NA,NA,NA,NA,NA,NA,13354600,NA,5375410,NA,NA,NA,6867560
A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,NA,NA,NA,NA,NA,288602,NA,NA,NA,NA,NA,817866,NA,NA,NA,NA,NA,NA,NA,NA,NA,467978,NA,NA,NA,219538,281707,787277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2097050,4659430
A9UHW6,MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein,182308,327404,340954,552070,552365,333968,273252,396520,NA,583421,682342,NA,280058,NA,437443,334599,495876,659653,337400,746194,271369,407285,361937,660639,244601,184882,177592,251050,319974,609063,1296230,601072,331084,335549,245882,272713,446094,463126,376693,413263
B3EWG3;B3EWG5;B3EWG6,FM25A_HUMAN;FM25C_HUMAN;FM25G_HUMAN,FAM25A;FAM25C;FAM25G,Protein FAM25A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15056300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4DJY2,TM233_HUMAN,TMEM233,Transmembrane protein 233,NA,12298.6,NA,NA,NA,NA,NA,9070.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8848.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5706.1,NA,NA,NA,6943.34
B7ZAP0,RBG10_HUMAN,RABGAP1L,"Rab GTPase-activating protein 1-like, isoform 10",NA,NA,32996.3,NA,73468.8,41387.2,NA,NA,36845.5,26155.1,32914.9,32553.9,NA,NA,52729.4,37567.9,51784.7,37141.3,32682.2,50469.1,44157.4,26997.4,29057.4,35793.5,50889.5,31766.4,117914,80243.7,80043.6,NA,28974.7,NA,NA,NA,NA,22694.4,24191.1,NA,76295.2,47715.3
B7ZAQ6;P0CG08,GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,NA,83275.9,NA,NA,NA,110021,NA,NA,NA,NA,NA,150813,NA,NA,NA,95875.5,NA,169115,NA,110770,NA,NA,NA,NA,NA,NA,NA,126569,NA,NA,NA,NA,NA,NA,NA,NA,NA,139641,NA,408092
C4AMC7;Q6VEQ5,WASH2_HUMAN;WASH3_HUMAN,WASH2P;WASH3P,Putative WAS protein family homolog 3,NA,NA,NA,NA,117665,183680,NA,NA,118511,129178,96399.1,NA,NA,NA,178257,145285,NA,NA,NA,NA,NA,80999.7,NA,NA,50796.2,96114.1,153813,142032,NA,190251,74623.1,89011.1,NA,NA,56427.5,88420.7,NA,60887.6,111064,102374
C9J069,AJM1_HUMAN,AJM1,Apical junction component 1 homolog,NA,71291.9,NA,NA,21184.3,NA,NA,45713.6,NA,49908.7,NA,NA,51193.6,131379,38256.9,139290,NA,88662.4,NA,NA,NA,64723.8,NA,71466.4,47868,90267.9,49244.8,146120,NA,NA,NA,64778.8,NA,NA,NA,77668.7,NA,77545.2,34371.2,152491
C9J798;O43374,RAS4B_HUMAN;RASL2_HUMAN,RASA4;RASA4B,Ras GTPase-activating protein 4B,NA,32892.2,NA,45930.1,NA,40230.7,NA,NA,NA,125585,NA,103902,NA,27311.7,NA,NA,NA,65840,NA,127273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34504.3,54078.7
C9JLW8,MCRI1_HUMAN,MCRIP1,Mapk-regulated corepressor-interacting protein 1,518968,568862,408423,570168,697255,713476,413011,612385,446980,543355,544559,458363,130828,261707,511166,637821,205900,223296,219050,490433,207208,400451,642026,811818,430299,480007,631425,689434,482115,NA,NA,617691,NA,252357,152910,252751,125276,299909,741146,641971
C9JTQ0,ANR63_HUMAN,ANKRD63,Ankyrin repeat domain-containing protein 63,NA,1846920,NA,NA,NA,NA,NA,1580270,NA,1071730,NA,2681870,NA,8232120,NA,13740700,1131100,18100900,NA,NA,NA,NA,NA,14460800,1366400,9978530,3100200,28262400,1519780,11290500,NA,8376820,NA,12699800,NA,5048370,1491620,16531200,6714330,33744900
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",21710300,71258200,16608400,71263400,22214700,48734700,12740100,67385300,22273000,47353800,19571700,29591100,14013400,59599600,12357100,52747900,10488500,49433100,17476100,37009100,24752400,53670200,22160600,46215400,16856800,44384300,34980800,35484100,18031600,16245200,30479100,56174400,14142200,65932600,32780200,67097400,13707800,53933200,16265800,28503300
E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,16973.8,50330.4,NA,55312.6,NA,NA,NA,NA,45312.2,NA,23577.8,NA,43628.2,NA,NA,46173.3,NA,NA,16068.6,NA,27127.9,66283.3,NA,149678,NA,NA,45536.8,NA,NA,NA,NA,287590,NA,NA,31163,101421,NA,NA,20763.3,NA
G2XKQ0,SUMO5_HUMAN,SUMO1P1,Small ubiquitin-related modifier 5,5721160,4227850,7679080,6039910,6758030,4579110,5421560,3650930,5176270,3661940,5466800,3516480,5658080,4669870,6705460,3399070,7947070,4679540,6645010,3888460,4844080,5007400,6382880,4342640,5142650,3888330,5690390,4275320,6075750,NA,5443030,5232580,8296980,5391680,7492110,4387230,10786900,5397340,7154360,3749650
G9CGD6,CNIPF_HUMAN,CNK3/IPCEF1,CNK3/IPCEF1 fusion protein,6755440,5588380,6602690,5799620,4947060,3812770,3893110,3346360,4816950,3859620,3196280,2597010,8756660,5438950,6645380,4188840,5497210,4784380,6044120,4971010,4070210,4019890,9017670,6287580,7201270,5567220,5096860,4310560,6037060,6890590,12824100,7732320,7091050,7190920,8901890,5894540,6813750,5880930,4558810,3368480
H3BS89,T178B_HUMAN,TMEM178B,Transmembrane protein 178B,NA,397431,NA,141015,NA,258430,NA,342836,NA,579278,NA,823007,NA,567574,NA,403111,NA,756054,NA,122909,NA,771981,NA,228835,NA,626928,NA,736926,NA,NA,NA,596346,NA,787058,NA,324296,NA,774041,NA,1174840
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,NA,3607130,NA,3123990,NA,2553040,NA,2248600,NA,2505620,NA,2903240,NA,4892710,NA,3370460,NA,2446310,NA,2211850,NA,2013410,NA,1966260,NA,3110340,626238,2459950,NA,NA,NA,1873160,NA,5892700,NA,2093910,NA,3087970,NA,2925000
L0R819,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,27035.7,49626.4,NA,73782.1,48413.3,83124,25255,66696,23838.3,57817.7,40412.5,111677,40547.3,NA,45833.9,116478,36712.6,64566.6,NA,84999.6,NA,75213.7,NA,50844.9,27601.3,43959.8,56321.6,45169.9,22392.1,NA,NA,NA,NA,NA,NA,32154.7,NA,NA,NA,NA
L0R8F8,MIDUO_HUMAN,MIEF1,Mitochondrial ribosome and complex I assembly factor AltMIEF1,NA,303907,NA,386048,NA,141412,NA,NA,NA,148906,NA,NA,NA,244988,NA,232015,NA,359661,NA,NA,NA,167565,NA,NA,NA,174435,NA,357740,NA,NA,NA,264636,NA,NA,NA,NA,NA,523451,NA,412704
O00115,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,5692310,8046760,4629020,9594570,4026910,7367190,6362360,7398370,4895880,6335920,NA,8195140,6843520,7321960,5043290,6641010,7802320,6814460,NA,6629050,4640430,5940530,6337910,6081450,5146880,6314700,3769620,5868140,4881400,NA,7457530,8610220,NA,9987010,8709610,7822500,6259360,12397600,9035660,7419520
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",NA,5053110,NA,5195910,NA,5646430,NA,5622630,NA,5032350,NA,6097300,NA,4292160,NA,5872250,469139,6203140,NA,6152330,NA,4747460,NA,6176100,NA,4166080,1339720,5713250,NA,3087370,NA,4255440,NA,3937780,NA,2677580,NA,4637390,NA,10080700
O00139,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,931535,3499600,4612400,9219040,4394860,10062500,3423590,9490830,4108110,8506940,5746640,9799890,972223,4993550,5172840,12170000,3061800,8150970,5470510,10659700,2492100,8195370,3551650,12631800,2806660,8536870,10585000,25457800,8196740,10597000,2775750,8449830,936043,3312560,NA,2230030,1730100,4624540,20750300,29365600
O00142,KITM_HUMAN,TK2,"Thymidine kinase 2, mitochondrial",2655230,11525700,2714400,9845300,3647440,9877620,2420210,7484340,3644480,9917290,3759020,9633790,3987090,16453700,3664110,11096100,2295810,10497200,1949090,8398380,1710320,8268000,1704110,8713650,3261950,11776000,1806560,13203400,4398470,11617100,3070600,12826000,4500970,18452200,2458850,12827800,4796620,12285200,4649440,5761430
O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,NA,167409,NA,176781,34643.3,129248,NA,155290,NA,214275,80040.2,241390,NA,91480.6,NA,446267,NA,105602,47282.2,273734,NA,179683,NA,59066.3,NA,NA,217347,122688,NA,NA,NA,51312.3,NA,32515.1,NA,NA,NA,NA,195256,165121
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,2796250,4293430,1698500,3317840,6235670,5359070,3982340,9603900,5699520,6389010,5763020,5671400,4470450,NA,3141920,7731340,1790140,2027310,3019990,5754060,6499990,8432200,2337260,4501220,1949690,8442150,14451800,8600720,4012480,NA,NA,1961540,1721390,2494640,1499630,1206100,1568130,2163980,1873730,9391510
O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,253231000,271631000,299835000,275204000,253134000,165128000,209578000,191187000,275903000,210819000,263063000,191688000,364776000,353104000,225948000,212544000,253565000,247273000,193132000,175911000,241815000,205598000,322751000,241891000,315775000,347604000,231521000,245454000,265561000,338627000,437911000,342276000,359728000,425571000,333121000,329162000,317169000,389718000,270453000,210272000
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,NA,523833,NA,607685,352126,688927,863300,1743700,753387,1476860,861841,1584260,NA,372883,NA,1396970,354302,587575,469359,955558,792302,1789040,NA,581231,304385,851430,1586210,1732390,320905,NA,NA,523554,NA,NA,NA,441289,NA,531399,592525,3136680
O00160,MYO1F_HUMAN,MYO1F,Unconventional myosin-If,NA,NA,NA,397149,286985,1046080,NA,471531,266608,620910,307440,931315,NA,NA,NA,821953,NA,NA,443449,1162250,NA,566814,NA,230746,NA,437390,NA,643947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900206
O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,NA,2849970,NA,3718250,NA,3688500,321996,3402940,NA,3960670,NA,3221830,NA,2407310,NA,3714150,NA,2215040,NA,4205260,546569,3867440,NA,2142410,NA,2159000,NA,2946630,NA,NA,NA,2378980,NA,2914040,NA,2422370,538506,2653980,NA,2496240
O00165,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,NA,NA,NA,NA,NA,362469,NA,NA,NA,238282,NA,491666,NA,432251,NA,NA,NA,476815,NA,384065,NA,300254,NA,NA,NA,503457,NA,680012,NA,NA,NA,NA,NA,390590,NA,NA,NA,253981,NA,1462150
O00168,PLM_HUMAN,FXYD1,Phospholemman,114942,12417200,83139.9,5617190,NA,1624730,395846,10897700,269882,15193700,NA,4482250,314245,32529200,NA,15802600,345088,32065300,NA,3226950,318677,6142510,507783,16158000,673440,34876600,550617,40061700,428335,45296300,385353,12595900,NA,9795450,359977,28183200,406144,29828500,658067,41319700
O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,NA,471863,NA,798153,613389,1058620,276150,784221,335607,1157250,703439,1336090,NA,647294,360437,1198720,NA,782051,346866,1143390,NA,922865,NA,598290,NA,773229,721099,1442490,553861,NA,NA,523501,NA,579649,NA,NA,NA,621298,3601960,2892750
O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,NA,187463,152684,317146,285491,464397,162546,421653,283563,605157,371928,499645,111533,204084,244534,415675,172018,424656,343861,591426,NA,316286,NA,284764,NA,249339,544392,973812,330400,NA,NA,170691,NA,217987,NA,NA,NA,228067,845865,1571770
O00180,KCNK1_HUMAN,KCNK1,Potassium channel subfamily K member 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1795380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O00182,LEG9_HUMAN,LGALS9,Galectin-9,NA,NA,NA,213433,NA,279046,NA,259887,83382.3,426943,NA,301741,NA,NA,NA,172070,NA,192522,NA,346354,NA,277471,NA,NA,NA,138396,NA,211148,NA,NA,NA,NA,NA,NA,NA,NA,NA,177443,150668,622167
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,NA,1116640,895317,2364700,772790,3096360,674877,2926270,647280,2957330,1040420,4458240,NA,1431320,900150,4423840,669185,2435650,1198040,4600640,402821,2159810,535161,2426020,179851,1487840,1100860,5568050,992056,6670310,307931,1260730,NA,1023690,NA,620140,166553,1316850,1807440,8465990
